k,bic,aic,log_likelihood,min_component_share,n_components_fitted,silhouette,calinski_harabasz,davies_bouldin,meets_min_size,selected,pure_bic_selected,selection_rule
2,16741.982404272607,16266.821360360947,-8044.410680180474,0.40675763482781024,2,0.30878510598681186,644.419875939348,1.32311508704381,True,False,False,min BIC among size-eligible with silhouette>=0.10
3,-3276.5240032180545,-3991.9350131524643,2129.967506576232,0.05912930474333983,3,0.32007844698007676,483.5474469410811,1.2282004209415804,True,False,False,min BIC among size-eligible with silhouette>=0.10
4,-5267.0265148611215,-6222.687490818281,3290.3437454091404,0.05912930474333983,4,0.15887211580023156,473.30560732092613,1.68666232677701,True,False,False,min BIC among size-eligible with silhouette>=0.10
5,-9552.243145675455,-10748.154087655364,5598.077043827682,0.05977907732293697,5,0.11089904058759929,380.31368005289687,2.322413717102139,True,True,True,min BIC among size-eligible with silhouette>=0.10
6,-9408.083985155097,-10844.244893157756,5691.122446578878,0.01364522417153996,6,0.06966556744715648,300.1393802907064,2.7987535496680276,False,False,False,min BIC among size-eligible with silhouette>=0.10
7,-13849.824982172164,-15526.235856197573,8077.117928098786,0.01364522417153996,7,0.029746228276184943,285.73383548097206,2.2487692937015074,False,False,False,min BIC among size-eligible with silhouette>=0.10
8,-14177.212879312834,-16093.873719360992,8405.936859680496,0.003248862897985705,8,0.014366894095873384,268.59696037550225,2.308096134224909,False,False,False,min BIC among size-eligible with silhouette>=0.10
9,-14404.251860928802,-16561.16266699971,8684.581333499855,0.009096816114359974,9,0.03965915821577004,271.76703349897156,2.1165120935257584,False,False,False,min BIC among size-eligible with silhouette>=0.10
10,-16178.493395175503,-18575.65416726916,9736.82708363458,0.004548408057179987,10,0.01927786919070782,222.3680713141168,2.939338182632455,False,False,False,min BIC among size-eligible with silhouette>=0.10
