urc_type_gmm_smooth,n_cells,area_km2,mean_functional_accessibility_norm,mean_environmental_quality_norm,mean_urban_density_norm,mean_functional_urc_score,mean_urc_type_probability,mean_urc_type_uncertainty,mean_urc_type_entropy,mean_walk_access_15m,mean_bike_access_15m,mean_pt_stop_access_20m,mean_green_share_pct,mean_env_quality,mean_env_burden,mean_builtup_pct,mean_road_buf_pct,mean_pop_density_km2,cell_share_pct,r_access,r_env,r_density,r_urc,functional_urc_label
1,474,99.89585380742547,0.3227435443037974,0.38814519978746237,0.024296263880765327,61.8512447257384,0.960254641350211,0.03974535864978903,0.06352784810126583,17.971308016877636,48.09698312236287,36.29599156118143,13.896218023544128,37.85629306665283,52.7912010847833,34.13418430214748,0.7609354878570157,636.3213273073465,30.8,0.8,0.6,0.6,0.4,Accessible suburban / local-centre zone
2,510,93.33871087404357,0.0785230588235294,0.4974030744864718,0.002283376201768506,77.35243137254902,0.9741929411764706,0.025807058823529412,0.04127450980392157,1.0768039215686274,17.730098039215687,11.739215686274509,14.938331213115351,46.229979906267396,39.90459048504312,6.794337419941771,2.6549693430480377e-05,59.801827251374704,33.14,0.2,0.8,0.2,1.0,Low-access transition zone
3,235,42.80974231213129,0.11755863829787234,0.5026412910092464,0.0029406558654503055,76.36063829787234,0.9774110638297873,0.022588936170212764,0.043663404255319144,4.829531914893617,25.087063829787233,13.399191489361701,20.835700350028123,46.52501025842882,42.22274152125645,8.867687962990482,1.5902387392581117,77.01604051719451,15.27,0.4,1.0,0.4,0.8,Low-access transition zone
4,83,17.34421448134337,0.2384665060240964,0.26662261494560824,0.025648830055122227,63.401807228915665,0.9861409638554217,0.013859036144578315,0.018131325301204818,13.40566265060241,38.814096385542165,25.56385542168675,9.819958806483497,21.44138281158723,72.00772086432568,26.911460297219886,14.187625842590009,671.7451565660979,5.39,0.6,0.4,0.8,0.6,Compact built-up / environmental burden zone
5,237,50.90831521623001,0.607546582278481,0.2534993852001454,0.09788930776689597,41.37198312236287,0.9722493670886077,0.027750632911392407,0.04371181434599156,47.110337552742614,72.22514767932489,61.18654008438819,10.332351350884167,28.622765223416625,65.31255588588945,71.36653904755732,0.29977846080166737,2563.729738576847,15.4,1.0,0.2,1.0,0.2,Central accessible urban core
