feature,vif,r_squared_aux
env_quality,8.806763655089005,0.8864509098728739
builtup_pct,4.877701552307787,0.7949854066969575
bike_access_15m,4.756017273672621,0.7897400403620076
green_share_pct,4.708635203643056,0.787624235738988
walk_access_15m,4.615640448737182,0.7833453426222583
pt_stop_access_20m,2.3510900387585547,0.5746653749900494
road_buf_pct,1.8694434671809912,0.4650814439936287
pop_density_km2,1.3920298541297436,0.2816246023508089
