functional_urc_type,n_cells,area_km2,mean_urc_score,mean_accessibility,mean_environmental_quality,mean_urban_density,mean_uncertainty,mean_entropy,pct_smoothing_changed,cell_share_pct
Accessible suburban / local-centre zone,474,99.89585380742547,61.8512447257384,0.3227435443037974,0.38814519978746237,0.024296263880765327,0.03974535864978903,0.06352784810126583,0.49156118143459915,30.8
Central accessible urban core,237,50.90831521623001,41.37198312236287,0.607546582278481,0.2534993852001454,0.09788930776689597,0.027750632911392407,0.04371181434599156,0.25738396624472576,15.4
Compact built-up / environmental burden zone,83,17.34421448134337,63.401807228915665,0.2384665060240964,0.26662261494560824,0.025648830055122227,0.013859036144578315,0.018131325301204818,0.3373493975903614,5.39
Low-access transition zone,745,136.14845318617486,77.03958389261744,0.09083629530201343,0.4990553978191591,0.0024907060285674627,0.02479194630872483,0.042028053691275165,0.32483221476510066,48.41
