hex_id,walk_access_15m,bike_access_5m,bike_access_15m,pt_stop_access_10m,pt_stop_access_20m,green_share_pct,env_quality,env_burden,builtup_pct,road_buf_pct,air_pollution_mean,heat_mean,noise_mean,pop_density_km2,age_vulnerability
581795.69_6128062.32,-0.703899525848166,-0.824854318878357,-1.352293862771005,1.0159460102329216,0.8298220220442709,-0.534352890987118,-0.06295562838189822,-0.4257629698474913,-0.2553819379688837,-0.21099436057342846,-2.490170449755173,-0.5436009243493718,-0.24369494921269477,-0.26526393545484794,0.15869967281745542
581558.34_6128281.92,-0.703899525848166,-0.824854318878357,-1.3453222937685232,2.1668288795595014,2.0465539345954484,0.10393791465727528,0.4734469640170208,-0.89409483901888,-0.8389500384221392,-0.21099436057342846,-2.490170691535106,-0.3919746065304861,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582657.76_6127713.71,-0.703899525848166,-0.824854318878357,-1.4392334291548954,-0.716214413783959,-1.0013738545989368,-0.31268127655418765,0.07331108505612152,-0.36816427206114133,0.34262188294670887,-0.21099436057342846,-2.4088631224660557,-1.1196868752129832,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582957.36_6127888.01,-0.703899525848166,-0.824854318878357,-1.5474977948404949,-0.716214413783959,-1.0013738545989368,-0.5786662552228555,0.21903086972597835,-0.7882193722728326,-0.8389500384221392,-0.21099436057342846,-2.3498818843382505,-1.174382769028219,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582222.84_6127879.38,-0.703899525848166,-0.824854318878357,-1.4400536137434228,-0.716214413783959,0.30826300056743955,-0.5759320187888428,0.23811708909494173,-0.7739504936584115,-0.6960895545953244,-0.21099436057342846,-2.4800455524095386,-1.0953661859941135,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582619.72_6127984.86,-0.703899525848166,-0.824854318878357,-1.3203066638184415,-0.716214413783959,-0.1480114666392519,0.03814464691011206,0.49679541207528327,-0.9025955812720883,-0.6281966491252264,-0.21099436057342846,-2.414458597927597,-1.0185166848843983,-0.24369494921269477,-0.3148714638640518,0.06268779658858817
583052.74_6128234.86,-0.703899525848166,-0.824854318878357,-1.1152605166866245,-0.716214413783959,-0.34996313726611294,1.3829707591427747,1.247449678198404,-1.3500041781285284,-0.6196457814074894,-0.21099436057342846,-2.3452032128976765,-0.9231822691550152,-0.24369494921269477,-0.3084648998246093,-0.3843032480391138
582186.71_6128234.86,-0.703899525848166,-0.824854318878357,-1.3182562023471232,-0.716214413783959,-0.13330450661136325,-0.7042316281751472,0.13759018217906505,-0.7240391936886421,-0.7521923477734613,-0.21099436057342846,-2.482754376550964,-1.0203009683634265,-0.24369494921269477,-0.3131309666061642,-0.36775118952604613
582619.72_6128484.86,-0.703899525848166,-0.824854318878357,-1.105418301624297,-0.716214413783959,-0.1455005222442465,0.4334598235267996,0.7135749749652565,-1.0234405513983407,-0.6686377252723933,-0.21099436057342846,-2.4122568998383183,-0.9285117861842094,-0.24369494921269477,-0.2929808662995888,-0.3792511805325065
583052.74_6128734.86,-0.703899525848166,-0.824854318878357,-1.0668696259635158,-0.716214413783959,-0.2574169009930577,0.25129886339429486,0.46635356761657515,-0.7738482151015306,-0.3846679031962223,-0.21099436057342846,-2.2444219413873343,-0.7560122350032425,-0.24369494921269477,-0.23891948209509453,-0.39205886688100583
581756.85_6128486.65,-0.703899525848166,-0.824854318878357,-1.1939982371852422,1.1800243561351753,1.003077185299642,-0.6370159448137733,0.06340576592551175,-0.6406456915417446,-0.6965990229331113,-0.21099436057342846,-2.490171400200425,-0.8165904007884717,-0.24369494921269477,-0.3086859242071299,-0.3352887791703195
581428.57_6128696.32,-0.703899525848166,-0.824854318878357,-1.2042505445418332,-0.716214413783959,-1.0013738545989368,-0.7384029318782892,0.09555453328848441,-0.7185994128027987,-0.8389500384221392,-0.21099436057342846,-2.464674863325009,-1.0908075269835669,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
581784.74_6128959.59,-0.703899525848166,-0.824854318878357,-1.1013173786816608,-0.716214413783959,-0.09779257873914426,-0.21639267823178227,0.4695338897280675,-0.9171640912202085,-0.8145757487420531,-0.21099436057342846,-2.281763866941082,-0.7803262793596093,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
581832.38_6129497.87,-0.703899525848166,-0.824854318878357,-1.1365853159883335,-0.716214413783959,-0.22154626677869513,0.6154267967894309,1.0321971044312064,-1.2221113619143114,-0.7710543495237998,-0.21099436057342846,-1.7616339299289234,-0.8973616422069466,-0.24369494921269477,-0.3224936661161467,4.2219869693121295
582186.71_6128734.86,-0.703899525848166,-0.824854318878357,-1.0533365802528156,-0.716214413783959,0.08443024306981738,-0.7367056899185146,0.06150019692217581,-0.6674732574650987,-0.8389500384221392,-0.21099436057342846,-2.4152022011830474,-0.823003421279743,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582619.72_6128984.86,-0.703899525848166,-0.824854318878357,-0.9791098749910979,0.6057501454772877,0.3961460543926279,0.02335380409595506,0.34298820701042604,-0.6649911512235818,-0.3604304477596855,-0.21099436057342846,-1.9188877727476283,-0.864094802577401,-0.24369494921269477,-0.2549809069009334,-0.36645072022754727
582186.71_6129234.86,-0.703899525848166,-0.824854318878357,-1.003715412646916,-0.716214413783959,0.2892515644338274,0.45159746255458294,0.6230609414620278,-0.8750707168520013,-0.4896862344663915,-0.21099436057342846,-1.907225976248992,-0.8698012374776133,-0.24369494921269477,-0.26747635506492384,-0.3142418262921958
583052.74_6129234.86,-0.703899525848166,-0.824854318878357,-0.9655768292803981,0.662443882882538,0.45640871987275694,1.0751125313843668,1.2271177395898107,-1.2772972842601817,-0.738121157433121,-0.21099436057342846,-1.2053246096931922,-1.1635120370711787,-0.24369494921269477,-0.304481014432325,-0.2037384522674663
582619.72_6129484.86,-0.703899525848166,-0.824854318878357,-0.8675647709513895,0.8391949465577299,0.6429360177874422,0.29344110674646884,0.7174682244112917,-0.9090306605123084,-0.6952015396806318,-0.21099436057342846,-0.895629076615787,-1.0423564277252495,-0.24369494921269477,-0.3070474598510651,-0.35028448780505805
582186.71_6129734.86,-0.703899525848166,-0.824854318878357,-0.838858310352935,0.8425298722874505,0.6465230812088784,-0.5946815018457431,0.1989202912366787,-0.6550960992440503,-0.81201931117161,-0.21099436057342846,-1.3998635878966463,-0.9837185181396427,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
583052.74_6129734.86,-0.3877806348426093,-0.2418967623101165,-0.5316991819494731,2.1668288795595014,2.0465539345954484,-0.7014096297768396,-0.10475418440553672,-0.1467984699855749,-0.3092232088464572,-0.21099436057342846,0.05026418029246881,-0.5510690246007851,-0.24369494921269477,-0.29894430585119625,-0.19714686844341023
582619.72_6129984.86,-0.703899525848166,-0.824854318878357,-0.838858310352935,0.8425298722874505,0.6465230812088784,-0.7126732569143918,0.0013144599434630688,-0.3622352284669021,-0.7548641757191422,-0.21099436057342846,-0.31644708237315594,-0.5178121961143394,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582205.87_6130229.24,-0.3535665475538981,-0.34695020103194363,-0.23561254549112934,-0.716214413783959,-0.1914149340386306,0.36313066428877455,0.8782176621047111,-1.0511013202308168,-0.7385220898155701,-0.21099436057342846,-1.202547911685216,-0.7666188674605021,-0.24369494921269477,-0.30793818146358976,-0.1713019209873018
583052.74_6130234.86,0.0810969275787424,0.24704686943587875,0.09082092074272358,1.460158117431706,1.2993686239102766,-0.7334949054523654,-0.20279542581661417,-0.015219463365111702,-0.4130543819958783,-0.21099436057342846,0.49677482632544256,0.025281928101639383,-0.24369494921269477,-0.2904426345005494,-0.03443785426141776
580508.12_6130473.1,-0.703899525848166,-0.824854318878357,-1.1181311627464698,0.9582517951087554,0.7688419438798547,0.11048495159767316,0.7381128831316509,-0.9180234566421221,-0.5550094095350576,-0.21099436057342846,-1.3547062432257533,-0.3701549482693318,-0.24369494921269477,0.05828810396461046,0.20398932077920687
580198.96_6130589.27,-0.703899525848166,-0.824854318878357,-1.3682874622472867,-0.716214413783959,-0.0009418663603654321,0.3699037384474034,0.6204018499927761,-0.8620865623747135,-0.8389500384221392,-0.21099436057342846,-1.3547064447090307,-0.360355489295473,-0.24369494921269477,-0.25172946194380136,0.9532170257993483
580454.66_6130734.86,-0.703899525848166,-0.824854318878357,-1.397404015140005,0.8725442038549358,0.6780892393175174,-0.7295205210475721,-0.036127369528741696,-0.43733769354532914,-0.8389500384221392,-0.21099436057342846,-1.3547064921168601,-0.13629886596883295,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
580176.76_6131000.95,-0.703899525848166,-0.824854318878357,-1.3621360778333322,1.6145651787177697,1.462580009585626,-0.7067766091345737,-0.43095366175869054,0.1826851982832718,0.5390970770561097,-0.21099436057342846,-1.3547067546833027,-0.09537217964186251,-0.24369494921269477,0.2185161025495043,0.984712793727201
580454.66_6131234.86,-0.703899525848166,-0.824854318878357,-1.1415064235194972,1.416137097799394,1.2527367994316054,0.07291798634048642,0.1696042042725044,-0.34702306408309463,-0.19784148457480014,-0.21099436057342846,-1.3547064921168601,0.35761976778531884,-0.24369494921269477,-0.3151088310775233,0.22158598459620985
581902.3_6129885.2,-0.703899525848166,-0.824854318878357,-1.1365853159883335,-0.716214413783959,-0.22154626677869513,3.7705101783326977,3.571809973099035,-2.8719016425225408,-0.8389500384221392,-0.21099436057342846,-1.3883928367787937,-0.7664015618506406,-0.24369494921269477,-0.2383394778603414,-0.24385043333849107
581390.14_6130344.84,-0.47644812866124103,-0.48512218145251623,-0.8646941248915441,-0.716214413783959,-0.3854750651383318,0.016571635873711674,0.7313006989673875,-0.9239244460877067,-0.8389500384221392,-0.21099436057342846,-1.3547067133533999,-0.41366451148352645,-0.24369494921269477,-0.27246417882419066,-0.4856673230493509
581680.17_6130544.85,-0.4046467342102837,-0.4470180528313789,-0.4529614614508553,-0.716214413783959,0.05788597375118915,0.24889381659463466,0.9588260681988284,-1.0969498363544181,-0.6972108012742909,-0.21099436057342846,-1.3547064022914983,-0.5375701550794942,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
580896.02_6130560.75,-0.703899525848166,-0.824854318878357,-0.7289535754902811,1.46082510257765,1.3000860365945637,-0.45387974411758536,0.26527739821809365,-0.6503937239246975,-0.8370380968975115,-0.21099436057342846,-1.3547056387759218,-0.21304916231711823,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
581320.69_6130734.86,-0.4668103575939984,-0.4794243678269256,-0.5107844749420277,1.445484444220935,1.2839442511981007,-0.7384029318782892,-0.0372107653295158,-0.43602872532849224,-0.7768498265370735,-0.21099436057342846,-1.3547064921168601,-0.315252771106475,-0.24369494921269477,-0.3017791670764423,-0.4912913118986593
581753.7_6130984.86,-0.4263317191115796,-0.4577014533793613,-0.2745713134461746,1.592554668901614,1.439622803688434,-0.06458585246149733,0.5548269212890848,-0.8211099365854441,-0.6615885854920913,-0.21099436057342846,-1.3547061390102655,-0.7118730780941306,-0.24369494921269477,-0.2830042610440345,-0.36937156582638486
580887.67_6130984.86,-0.703899525848166,-0.824854318878357,-0.6842535154155449,1.621902015323155,1.4704715491127858,-0.7384029318782892,-0.33426371189392534,-0.03368053052099587,-0.10407593045999367,-0.21099436057342846,-1.3547057947629748,0.2184826565393666,-0.24369494921269477,-0.27582817219486666,-0.05580154260205635
581320.69_6131234.86,-0.703899525848166,-0.824854318878357,-0.5403111201290095,1.1153267969785956,0.9349229802923531,-0.7384029318782892,-0.11378768341337017,-0.32693937053518873,-0.4951291021595572,-0.21099436057342846,-1.3547064921168601,-0.43906038892626076,-0.24369494921269477,-0.30213172228075885,0.012526874595660823
581753.7_6131484.86,-0.5468038574521119,-0.5307046904572412,-0.16712713234910254,1.598891027788083,1.4460795178470196,0.4647407112930055,0.5920247876681539,-0.7522917613087235,-0.46188099431862306,-0.21099436057342846,-1.3547061390102655,-0.4440428080209898,-0.24369494921269477,-0.28076667282995743,0.04495786726090059
583485.75_6130484.86,0.09651736128633054,0.04156946556301685,0.2335330391464681,1.329095536253686,1.1609079758428373,-0.5575572340434165,-0.911587852389791,1.0375118234606555,1.7617813911689009,-0.21099436057342846,0.5291598306441271,0.637079827399617,-0.24369494921269477,0.43743179133132365,-0.03062276991199052
582619.72_6130484.86,-0.15069146658844165,-0.3448135209223471,-0.20403543883282954,-0.716214413783959,0.11456157580988191,-0.5086129916377615,0.12354785283252319,-0.40664467278014127,-0.6884927992812157,-0.21099436057342846,-0.2679930499309092,-0.34763504124292355,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
582206.52_6130747.18,-0.08852784320472705,-0.3245150598811805,-0.2298712533714383,-0.716214413783959,-0.04864980986546768,-0.5899539225930064,-0.03680748631235758,-0.30635959078580194,-0.21283917703215177,-0.21099436057342846,-1.1952185285152501,-0.5623523384316866,-0.24369494921269477,-0.276022031590812,-0.13795627616353898
583052.74_6130734.86,-0.07696251792403594,-0.06526453991680731,-0.003090214643648887,1.011610606784285,0.8255175459385474,-0.6710950114116015,-0.030978171056283504,-0.221725013228915,-0.7514886553910937,-0.21099436057342846,0.5000471043773386,-0.13839270599253034,-0.24369494921269477,-0.3162001791768763,-0.03062276991199052
582619.72_6130984.86,-0.703899525848166,-0.824854318878357,-0.7334645907271811,-0.716214413783959,-0.07196572210480327,-0.7384029318782892,-0.07048951203410642,-0.2695915728708025,-0.6256362784238997,-0.21099436057342846,-0.243111393699296,-0.4380347189823126,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
583485.75_6130984.86,0.17024630995073636,0.031954405069832686,0.3618919272509857,1.7056086511391422,1.5590720156222613,-0.3999962548864055,-0.18170424409722463,0.10201639683832463,0.02770476518549491,-0.21099436057342846,0.5291598306441271,0.18337237768622033,-0.24369494921269477,-0.06984829623420528,-0.03062276991202755
583052.74_6131234.86,-0.48560401117512136,-0.4904638817265074,-0.4496807230967463,-0.716214413783959,0.16406305102570232,-0.7384029318782892,-0.04311594849503317,-0.22885880342917803,-0.7108756214614808,-0.21099436057342846,0.5033136934896454,-0.430840862662736,-0.24369494921269477,-0.31038296473904614,-0.08431805090341495
582186.71_6131234.86,-0.703899525848166,-0.824854318878357,-0.9704979368115616,-0.716214413783959,-1.0013738545989368,0.617162235438225,1.1069605352668146,-1.227588829300931,-0.8389500384221392,-0.21099436057342846,-1.193208306155418,-0.8210316649794668,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
583485.75_6131484.86,-0.4740386858944304,-0.48369772804611855,-0.05189119766102125,-0.716214413783959,0.2784903741695187,-0.6111837194936101,-0.0678028980682845,-0.09786654887989828,-0.34172553434125286,-0.21099436057342846,0.5291598306441271,-0.27122424153497265,-0.24369494921269477,-0.31759757861068305,-0.03062276991199052
582619.72_6131484.86,-0.48560401117512136,-0.4904638817265074,-0.4496807230967463,-0.716214413783959,0.16406305102570232,0.7309542565763598,1.1550581398328295,-1.1524556860634243,-0.8389500384221392,-0.21099436057342846,-0.21829243350536542,-0.8177007098917548,-0.24369494921269477,-0.32289805922167425,-0.7560784573292363
580122.55_6131518.28,-0.703899525848166,-0.824854318878357,-1.3547544165365866,1.78297892806866,1.6404983552888646,0.9489458301790831,0.9279883506650164,-0.9847784720858755,-0.5826875192395318,-0.21099436057342846,-1.3547064921168601,-0.18573650806195235,-0.24369494921269477,-0.31359546935945526,1.0230261254683575
580454.66_6131734.86,-0.703899525848166,-0.824854318878357,-1.1333045776342243,-0.716214413783959,-0.2638736151516429,-0.7382307916400349,-0.19753117261379974,-0.1956557165539877,-0.3051857807952021,-0.21099436057342846,-1.3547064921168601,-0.1335458016165208,-0.24369494921269477,-0.30294850876571444,0.638416776899953
580043.52_6131976.99,-0.703899525848166,-0.824854318878357,-1.292830480102778,-0.716214413783959,-1.0013738545989368,2.2326054154662733,1.6352594407621543,-1.439007404336888,-0.6098237159102219,-0.21099436057342846,-1.3547051014871834,-0.5008749323179537,-0.24369494921269477,-0.3163439562504559,2.026389109324002
