scenario,k,status,features_used,silhouette,calinski_harabasz,davies_bouldin,ari_vs_main_typology,nmi_vs_main_typology,mean_membership_uncertainty
revised_primary,4,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, builtup_pct, pop_density_km2",0.0983362851153566,500.73869632481063,2.527027180728109,0.3228861325621709,0.29794212594649827,0.026347679180276327
revised_primary,5,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, builtup_pct, pop_density_km2",0.17686116899529028,521.3354067206498,1.9026763123665202,0.2651987237411609,0.256434140151354,0.04020700434079286
revised_primary,6,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, builtup_pct, pop_density_km2",0.15072090072827077,437.95780941238394,2.0137969839504124,0.26511542132394433,0.25033421150415175,0.05451586362433491
revised_primary,7,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, builtup_pct, pop_density_km2",0.13688889977701404,374.22625335411504,1.9503677381463862,0.26489772882704865,0.25439954295634665,0.04982718626102789
revised_primary,8,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, builtup_pct, pop_density_km2",0.10355231822454605,343.09149778224526,1.9939576468041698,0.25240037564623663,0.2511869441428619,0.05359901181915013
accessibility_only,4,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m",0.3895693303124454,1819.540634456875,1.1041175057010522,0.27682227919436203,0.27907390759707484,0.04931035488870646
accessibility_only,5,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m",0.35015394778682185,1640.4949615483977,1.2901346724418912,0.27614585147188475,0.2755350352027937,0.08917406490865373
accessibility_only,6,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m",0.30597208094991407,1299.9690910711106,1.4581690153567608,0.270349043544961,0.26173007423407796,0.09792352008997618
accessibility_only,7,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m",0.209041584631305,1160.0134146460796,1.2533657231034303,0.21726175848749402,0.25142427502396525,0.05705411093698438
accessibility_only,8,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m",0.1824095033863633,1008.7542334302225,1.8929030901067003,0.2158834045481135,0.2461828947832292,0.1004556691578238
environment_only,4,ok,"green_share_pct, env_quality, env_burden, builtup_pct, road_buf_pct",0.30639771559693246,757.6097806308209,0.9804440820146771,0.20808323792676908,0.2559637088779286,0.032904729446197
environment_only,5,ok,"green_share_pct, env_quality, env_burden, builtup_pct, road_buf_pct",0.28340121643162014,776.1697100762989,1.1360132135469805,0.20170181033951634,0.26540590434911426,0.07360313563944262
environment_only,6,ok,"green_share_pct, env_quality, env_burden, builtup_pct, road_buf_pct",0.19725962474908024,599.1375168670171,1.5245732675760186,0.17502073192691894,0.24710607530606238,0.10079567394677953
environment_only,7,ok,"green_share_pct, env_quality, env_burden, builtup_pct, road_buf_pct",0.12973545976198955,432.89606629120743,3.3689077915856265,0.14760836023095264,0.24797733477713174,0.07891772667750956
environment_only,8,ok,"green_share_pct, env_quality, env_burden, builtup_pct, road_buf_pct",-0.027767082559185405,310.8604398311044,4.041085574393266,0.08997930855806263,0.20613390475474408,0.07640386437686425
morphology_density_only,4,ok,"pop_density_km2, builtup_pct, green_share_pct",0.11208567781076158,315.1303064553467,4.023537129851144,0.18243966714256404,0.20686552684777232,0.04540176366852775
morphology_density_only,5,ok,"pop_density_km2, builtup_pct, green_share_pct",0.044735048507154505,341.3868528659579,2.928907688036089,0.1349913797554607,0.19776087037631102,0.059982103374276986
morphology_density_only,6,ok,"pop_density_km2, builtup_pct, green_share_pct",0.03974815726129245,376.91492258906,2.8119573372350435,0.13637342984710993,0.20055032794983105,0.07356755594329453
morphology_density_only,7,ok,"pop_density_km2, builtup_pct, green_share_pct",-0.0353344331370218,315.394725098606,3.8382400551069673,0.12203123125579916,0.1952462600057576,0.07946411321255176
morphology_density_only,8,ok,"pop_density_km2, builtup_pct, green_share_pct",-0.00026816745265739533,345.1524496743796,1.8331373402386444,0.10501128297674378,0.18883249633505036,0.10851869297302517
access_environment_only,4,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, env_quality, builtup_pct, road_buf_pct",0.16620354874069465,481.9598930983909,1.8669784677752452,0.2619706690127262,0.32446653373379114,0.02434189864532317
access_environment_only,5,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, env_quality, builtup_pct, road_buf_pct",0.08356801724775045,402.42813240819197,2.548233240824731,0.3632571530816936,0.34439848603024614,0.03661916748176824
access_environment_only,6,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, env_quality, builtup_pct, road_buf_pct",0.15837554979233878,394.7399144653966,1.7484932336996895,0.29242777573331247,0.2972550555536213,0.0451667371584149
access_environment_only,7,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, env_quality, builtup_pct, road_buf_pct",0.08584194744237077,355.5239389261129,1.8407095478963031,0.23748080641384647,0.29172517092007083,0.057019408851439704
access_environment_only,8,ok,"walk_access_15m, bike_access_15m, pt_stop_access_20m, green_share_pct, env_quality, builtup_pct, road_buf_pct",0.10745245165587919,364.6771496858402,1.8327346171968446,0.18301789867182022,0.2764543855944075,0.05713784726363325
