functional_urc_type,n_cells,area_km2,walk_access_15m,bike_access_15m,pt_stop_access_20m,functional_accessibility_norm,green_share_pct,env_quality,env_burden,builtup_pct,road_buf_pct,environmental_quality_norm,pop_density_km2,age_vulnerability,socioeconomic_vulnerability,demographic_vulnerability,social_vulnerability_norm,urban_density_norm,functional_urc_score,urc_type_uncertainty,cell_share_pct
Accessible suburban / local-centre zone,474,99.89585380742547,17.971308016877636,48.09698312236287,36.29599156118143,0.3227435443037974,13.896218023544128,37.85629306665283,52.7912010847833,34.13418430214748,0.7609354878570157,0.38814519978746237,636.3213273073465,0.17859078383960889,,11.40554852320675,,0.024296263880765327,61.8512447257384,0.03974535864978903,30.8
Central accessible urban core,237,50.90831521623001,47.110337552742614,72.22514767932489,61.18654008438819,0.607546582278481,10.332351350884167,28.622765223416625,65.31255588588945,71.36653904755732,0.29977846080166737,0.2534993852001454,2563.729738576847,0.3227869507895393,,24.504852320675106,,0.09788930776689597,41.37198312236287,0.027750632911392407,15.4
Compact built-up / environmental burden zone,83,17.34421448134337,13.40566265060241,38.814096385542165,25.56385542168675,0.2384665060240964,9.819958806483497,21.44138281158723,72.00772086432568,26.911460297219886,14.187625842590009,0.26662261494560824,671.7451565660979,0.14775439339538216,,9.836265060240963,,0.025648830055122227,63.401807228915665,0.013859036144578315,5.39
Low-access transition zone,745,136.14845318617486,2.2605503355704695,20.050751677852347,12.2628322147651,0.09083629530201343,16.798575169054278,46.32304317171429,40.6358193353923,7.44834732278264,0.5016371061332964,0.4990553978191591,65.23181398623062,0.08098016246587021,,4.5571275167785235,,0.0024907060285674627,77.03958389261744,0.02479194630872483,48.41
