cluster_feature,n_cells,walk_access_15m,bike_access_5m,bike_access_15m,pt_stop_access_10m,pt_stop_access_20m,green_share_pct,env_quality,env_burden,builtup_pct,road_buf_pct,air_pollution_mean,heat_mean,noise_mean,pop_density_km2,age_vulnerability
1,233,46.25630901287553,65.21360515021459,71.18223175965664,59.06905579399142,61.943304721030046,6.663875454185421,23.809846828170222,70.79381950574204,79.85555707755783,0.21178547095619304,3.8753339024277826,32.90519309939109,57.39229605271352,1356.5238733089616,0.3271486443070679
2,672,2.2356101190476187,4.366205357142857,21.34876488095238,2.3270089285714284,9.253333333333334,6.9766199658930335,41.48691705806662,44.37518703231256,8.041661256062898,0.032748211775019284,3.5750713620022974,28.85860327339472,57.0990799318131,62.94193229595116,0.08289373753065876
3,178,3.3882022471910114,6.422640449438203,21.37252808988764,4.759044943820225,12.155112359550563,56.39261142023236,67.59111375244072,24.050466851487215,4.001280332174457,0.015401131776077335,3.3805792649584574,27.9611328282675,56.88511841302166,37.98215207308448,0.07377634980774667
4,329,17.185957446808512,32.69413373860183,49.64173252279635,37.21841945288754,45.24434650455927,14.304758605856025,38.83143722345662,51.52784459273713,31.740650189011188,0.013919448915151669,3.7664195356715062,30.368617455587653,57.354193461251974,385.795774990713,0.18277156308887368
5,73,9.620958904109589,18.92287671232877,35.62575342465753,13.765890410958903,20.973835616438354,13.648644198229292,20.15412460749963,73.8751169834884,17.424047172026928,25.69521598919802,3.8075382837603953,30.077190818990932,66.64242338493517,91.7539280782442,0.10692934356687497
6,54,60.01240740740741,78.47314814814816,81.58814814814815,67.18722222222222,69.11111111111111,7.112901049981122,24.31232301941655,70.57070657088049,82.20267880771043,0.5296115750409145,3.8889123901395464,33.6143711069585,58.522101751459545,9533.70547827019,0.38419022628584654
