component,explained_variance_ratio,cumulative_explained_variance
PC1,0.484083960697908,0.484083960697908
PC2,0.15963402591381576,0.6437179866117237
PC3,0.09597261494720837,0.7396906015589321
PC4,0.058642964953230535,0.7983335665121626
PC5,0.053539380009763875,0.8518729465219265
PC6,0.048581698473147805,0.9004546449950743
