hex_id,walk_access_15m,bike_access_15m,pt_stop_access_20m,green_share_pct,env_quality,builtup_pct,road_buf_pct,pop_density_km2
581795.69_6128062.32,0.0,4.76,51.05,4.015915987856957,38.6988751566073,18.47509739511336,0.0,117.55215374539063
581558.34_6128281.92,0.0,4.93,84.97,16.578139646790444,46.7830072746438,0.0,0.0,0.0
582657.76_6127713.71,0.0,2.64,0.0,8.378642780595303,40.75255299175154,37.40721315929652,0.0,0.0
582957.36_6127888.01,0.0,0.0,0.0,3.143783117249299,42.94869821583515,0.0,0.0,0.0
582222.84_6127879.38,0.0,2.62,36.51,3.1975957200891534,43.236346935656734,4.522799225254837,0.0,0.0
582619.72_6127984.86,0.0,5.54,23.79,15.283260044290847,47.13489211175833,6.67221081924541,0.0,16.371266011583977
583052.74_6128234.86,0.0,10.54,18.16,41.75082977089089,58.44801465870162,6.942921493415611,0.0,29.438271315440485
582186.71_6128234.86,0.0,5.59,24.2,0.6725266227246394,41.721304300812186,2.746649077056311,0.0,19.921232383596436
582619.72_6128484.86,0.0,10.78,23.86,23.063471854511278,50.401980399037605,5.3918926867056225,0.0,61.019934583125554
583052.74_6128734.86,0.0,11.72,20.74,19.478355630253017,46.676102583131495,14.382051874734291,0.0,171.285029848671
581756.85_6128486.65,0.0,8.62,55.88,1.9954008366515978,40.60326976743854,4.506670041440595,0.0,28.98746386843803
581428.57_6128696.32,0.0,8.37,0.0,0.0,41.08778435867491,0.0,0.0,0.0
581784.74_6128959.59,0.0,10.88,25.19,10.273702050186538,46.7240332689476,0.7716620826713052,0.0,0.0
581832.38_6129497.87,0.0,10.02,21.74,26.644770216402264,55.203939649110126,2.1494997141393855,0.0,0.8248113688146058
582186.71_6128734.86,0.0,12.05,30.27,0.033403478341649626,40.57455090626729,0.0,0.0,0.0
582619.72_6128984.86,0.0,13.86,38.96,14.992160949814643,44.81686124451463,15.149381942042528,0.0,138.52570334646526
582186.71_6129234.86,0.0,13.26,35.98,23.420439362263465,49.03784194082467,11.057291839047473,0.0,113.03964148433572
583052.74_6129234.86,0.0,14.19,40.64,35.691861228425914,58.14159168413583,3.192126840150374,0.0,37.56391420770522
582619.72_6129484.86,0.0,16.58,45.84,20.307758594854317,50.46065562420657,4.550912759946873,0.0,32.32932111033368
582186.71_6129734.86,0.0,17.28,45.94,2.8285864886113825,42.64561136319605,0.8525959669288236,0.0,0.0
583052.74_6129734.86,6.56,24.77,84.97,0.7280664718517189,38.06892844489017,16.7705444516484,0.0,48.85673824725269
582619.72_6129984.86,0.0,17.28,45.94,0.5063866324093916,39.66749069393434,2.6620620657356096,0.0,0.0
582205.87_6130229.24,7.27,31.99,22.58,21.679321213016635,52.88331299131943,3.1794337803192247,0.0,30.51258066046645
583052.74_6130234.86,16.29,39.95,64.14,0.0965950396609045,36.59134731494286,13.483368481792436,0.0,66.19698240099936
580508.12_6130473.1,0.0,10.47,49.35,16.70699210968241,50.771791608618514,8.9892349651123,0.0,777.4778470091276
580198.96_6130589.27,0.0,4.37,27.89,21.8126223223023,48.99776673042116,0.0,0.0,145.15744045835066
580454.66_6130734.86,0.0,3.66,46.82,0.1748150380661537,39.1032042783139,0.0,0.0,0.0
580176.76_6131000.95,0.0,4.52,68.69,0.6224387634960109,33.152770862646044,43.62739267917715,0.0,1104.283306916354
580454.66_6131234.86,0.0,9.9,62.84,15.967635353208804,42.20378814391903,20.29676221844588,0.0,15.887125274318723
581902.3_6129885.2,0.0,10.02,21.74,88.74007654235959,93.47848613696148,0.0,0.0,172.46802253634544
581390.14_6130344.84,4.72,16.65,17.17,14.858680859945075,50.66912507125147,0.0,0.0,102.86633811676141
581680.17_6130544.85,6.21,26.69,29.53,19.4310218201145,54.098163579149094,4.487301840147999,0.0,0.0
580896.02_6130560.75,0.0,19.96,64.16,5.599710804535674,43.64568039233582,0.06052987792482459,0.0,0.0
581320.69_6130734.86,4.92,25.28,63.71,0.0,39.08687640273371,1.9660215524848843,0.0,43.07467684305417
581753.7_6130984.86,5.76,31.04,68.05,13.26141749495752,48.009485922715406,5.615060375089711,0.0,81.36849474520487
580887.67_6130984.86,0.0,21.05,68.91,0.0,34.60998665591308,23.265272223074867,0.0,96.00504414605669
581320.69_6131234.86,0.0,24.56,53.98,0.0,37.93278443570319,10.884976884440032,0.0,42.355595492061006
581753.7_6131484.86,3.26,33.66,68.23,23.67911210013938,48.57009556662597,11.93757388226667,0.0,85.93234158747192
583485.75_6130484.86,16.61,43.43,60.28,3.5592305010002927,25.909125226761926,82.33617708525799,0.0,1550.7898038151718
582619.72_6130484.86,11.48,32.76,31.11,4.522503846753984,41.509672128837146,4.763303793969258,0.0,0.0
582206.52_6130747.18,12.77,32.13,26.56,2.9216301411488113,39.092954227303046,19.82195245993386,0.0,95.6096431574106
583052.74_6130734.86,13.01,37.66,50.93,1.3246895356210182,39.18080793150875,2.768927171575777,0.0,13.661181489974581
582619.72_6130984.86,0.0,19.85,25.91,0.0,38.58533187462206,6.753269221920038,0.0,0.0
583485.75_6130984.86,18.14,46.56,71.38,6.660193639726206,36.90921285467213,27.437298049975272,0.0,516.1272992417638
583052.74_6131234.86,4.53,26.77,32.49,0.0,38.997879292041624,4.054689290474775,0.0,25.5261330372959
582186.71_6131234.86,0.0,14.07,0.0,26.678925445115766,56.33070052058491,0.0,0.0,0.0
583485.75_6131484.86,4.77,36.47,35.68,2.50380576620756,38.6258218770151,15.7415580683666,0.0,10.811006934512257
582619.72_6131484.86,4.53,26.77,32.49,28.918470191019146,57.05558029443875,0.0,0.0,0.0
580122.55_6131518.28,0.0,4.7,73.65,33.20876997153319,53.63340784102502,8.11297772605892,0.0,18.973819713787506
580454.66_6131734.86,0.0,10.1,20.56,0.003387898046673146,36.67068495983384,16.89836479757678,0.0,40.68965517439234
580043.52_6131976.99,0.0,6.21,0.0,58.47251914309097,64.29270184264827,7.253876832719211,0.0,13.367929791955062
580454.66_6132234.86,0.0,10.22,0.0,36.47444676919499,51.78542805482825,21.219833010871834,0.0,46.74048848473625
580142.76_6132424.92,0.0,10.73,0.0,14.391765372149786,46.49171917091166,0.0,0.0,0.0
583459.29_6128139.15,0.0,6.23,0.0,51.43243304088093,69.70612013495253,0.03828809990890595,0.0,64.10006361559184
584354.63_6128173.11,0.0,10.66,0.0,33.08952343322786,55.61589529337344,0.0,0.0,50.073233997403165
584786.17_6128280.74,13.6,12.58,0.0,52.810225770215645,64.11741647010119,3.057894467480632,0.0,33.87255253746128
583916.48_6128280.11,0.0,11.1,0.0,13.38628919070689,50.479856996034336,0.7239527730123679,0.0,60.537989403663985
585161.0_6128172.15,4.71,12.58,0.0,90.26057865773119,80.62302143384342,0.0,0.0,0.0
585514.32_6128373.34,0.0,6.63,0.0,37.754480949891075,57.91003692212182,0.09986223519415757,0.0,0.0
585217.8_6128484.86,4.25,12.09,0.0,29.044471872053023,54.018977411061286,0.03930553706657674,0.0,0.0
585519.17_6128662.1,0.0,6.63,0.0,34.59149770393389,62.39607391758678,0.0,0.0,0.0
583485.75_6128484.86,0.0,10.45,0.0,20.041262440057846,48.504245702708886,4.755275898169018,0.0,0.0
584351.77_6128484.86,0.0,10.66,0.0,15.298348114945648,47.10241655561803,5.030321187790915,0.0,43.24593502703548
584784.79_6128734.86,6.93,14.62,0.0,13.238681868419336,45.6522133693638,6.189272414822004,0.0,122.7907757605461
583918.76_6128734.86,3.68,14.43,0.0,16.59032697855909,47.65809904338684,4.559435650208225,0.0,42.20446181518777
583485.75_6128984.86,0.0,13.5,26.75,25.69585145566744,51.08672310356801,8.528790901398583,0.0,68.75980055617589
584351.77_6128984.86,4.35,19.39,21.51,2.439273567816178,40.7309115506504,3.7178182873564136,0.0,23.90399110256624
584784.08_6129233.89,3.84,11.63,0.0,14.763705897152635,49.724935985373456,0.23435306337778328,0.0,0.0
583918.76_6129234.86,0.0,14.15,18.56,25.649110967101624,51.796623864329014,4.419099590460802,0.0,0.0
583485.75_6129484.86,4.24,22.19,50.09,7.256805912234844,42.25203240907464,11.254815681821311,0.0,113.2207271687102
584351.77_6129484.86,4.78,22.64,34.98,0.3159541540164563,39.06635645120473,6.407580186107877,0.0,65.85483751589275
585166.08_6128935.17,3.84,11.63,0.0,23.648618479037815,53.5933958407533,9.824295666691846,0.0,22.91462868836137
