pop_density_class,n_cells,total_population,mean_pop_density
High,308,67015.17296559259,1022.041723319934
Low,345,12515.549181548939,187.3052211596656
Moderate,257,17038.31360430764,333.7483807796409
Very high,308,107034.9930163071,1605.1086241735213
Very low,321,2376.606965648822,41.680904505570574
