lat,lon,pm25_mean,no2_mean
55.26854098717005,10.155806459560027,5.269067028985506,2.63106884057971
55.26854098717005,10.165806459560027,5.269067028985506,2.63106884057971
55.26854098717005,10.175806459560027,5.269067028985506,2.63106884057971
55.26854098717005,10.185806459560027,5.269067028985506,2.63106884057971
55.26854098717005,10.195806459560027,5.269067028985506,2.63106884057971
55.26854098717005,10.205806459560026,5.278170289855073,2.678759057971015
55.26854098717005,10.215806459560026,5.278170289855073,2.678759057971015
55.26854098717005,10.225806459560026,5.278170289855073,2.678759057971015
55.26854098717005,10.235806459560026,5.278170289855073,2.678759057971015
55.26854098717005,10.245806459560026,5.278170289855073,2.678759057971015
55.26854098717005,10.255806459560025,5.278170289855073,2.678759057971015
55.26854098717005,10.265806459560025,5.278170289855073,2.678759057971015
55.26854098717005,10.275806459560025,5.278170289855073,2.678759057971015
55.26854098717005,10.285806459560025,5.278170289855073,2.678759057971015
55.26854098717005,10.295806459560024,5.278170289855073,2.678759057971015
55.26854098717005,10.305806459560024,5.273097826086956,2.7378623188405795
55.26854098717005,10.315806459560024,5.273097826086956,2.7378623188405795
55.26854098717005,10.325806459560024,5.273097826086956,2.7378623188405795
55.26854098717005,10.335806459560024,5.273097826086956,2.7378623188405795
55.26854098717005,10.345806459560023,5.273097826086956,2.7378623188405795
55.26854098717005,10.355806459560023,5.273097826086956,2.7378623188405795
55.26854098717005,10.365806459560023,5.273097826086956,2.7378623188405795
55.26854098717005,10.375806459560023,5.273097826086956,2.7378623188405795
55.26854098717005,10.385806459560023,5.273097826086956,2.7378623188405795
55.26854098717005,10.395806459560022,5.273097826086956,2.7378623188405795
55.26854098717005,10.405806459560022,5.31123188405797,2.9737771739130436
55.26854098717005,10.415806459560022,5.31123188405797,2.9737771739130436
55.26854098717005,10.425806459560022,5.31123188405797,2.9737771739130436
55.26854098717005,10.435806459560022,5.31123188405797,2.9737771739130436
55.26854098717005,10.445806459560021,5.31123188405797,2.9737771739130436
55.26854098717005,10.455806459560021,5.31123188405797,2.9737771739130436
