layer,n,poly_area_km2
paragraf3_2026,652,14.938
paragraf3_2025,409,14.97
paragraf3_soer_2026,0,0.0
paragraf3_soer_2025,1242,3.498
marker_2025,0,0.0
arealanvendelse_2025,13540,132.464
